District,State,Days,WetDays,ObsMean,ServedMean,RawRMSE,RMSE,Bias,WetF1,Recall,Precision,P90Err,MaxErr
Orai,Uttar Pradesh,365,87,4.05,2.97,12.18,11.28,-1.09,0.558,0.632,0.5,13.47,122.7
Khargone,Madhya Pradesh,365,106,4.74,3.12,11.17,11.26,-1.62,0.621,0.594,0.649,17.25,81.5
Chitradurga,Karnataka,365,46,1.98,3.38,9.71,11.26,1.4,0.306,0.478,0.224,13.21,113.1
Buldhana,Maharashtra,365,91,4.42,5.9,10.61,11.25,1.48,0.724,0.78,0.676,19.75,57.6
Kendrapara,Odisha,365,102,5.43,4.6,11.92,11.21,-0.83,0.653,0.784,0.559,16.29,77.3
Srikakulam,Andhra Pradesh,365,66,3.46,2.74,13.11,11.19,-0.72,0.49,0.712,0.373,11.25,95.0
Kandhamal,Odisha,365,97,4.44,4.52,11.56,11.17,0.08,0.632,0.814,0.516,13.87,92.3
Rajkot,Gujarat,365,71,3.87,2.8,12.29,11.16,-1.07,0.571,0.648,0.511,12.7,99.8
Balangir,Odisha,365,100,5.08,3.96,12.92,11.12,-1.12,0.638,0.68,0.602,11.77,83.0
Bhagalpur,Bihar,365,111,4.24,5.14,11.6,11.11,0.9,0.571,0.613,0.535,17.46,80.1
West Tripura,Tripura,365,98,4.66,6.72,12.07,11.11,2.06,0.625,0.816,0.506,16.08,67.5
Banda,Uttar Pradesh,730,170,4.26,2.34,16.72,11.07,-1.92,0.428,0.435,0.42,15.59,74.2
Gondia,Maharashtra,365,96,4.36,3.87,16.05,11.02,-0.49,0.676,0.74,0.623,14.41,62.4
Nawada,Bihar,730,136,3.51,4.37,12.19,10.99,0.86,0.543,0.735,0.431,14.29,96.9
Sahibganj,Jharkhand,365,90,3.67,4.89,11.12,10.93,1.22,0.471,0.589,0.393,18.63,71.3
Subarnapur,Odisha,365,89,4.97,4.76,11.58,10.91,-0.21,0.593,0.753,0.489,14.59,85.3
Gir Somnath,Gujarat,365,72,3.74,3.29,12.68,10.89,-0.44,0.724,0.819,0.648,12.81,82.7
Amravati,Maharashtra,365,71,3.92,3.91,11.51,10.84,-0.02,0.634,0.732,0.559,14.02,88.2
Banka,Bihar,365,93,4.26,4.49,12.52,10.81,0.23,0.658,0.774,0.571,15.66,107.8
Bagalkot,Karnataka,365,55,2.36,1.69,11.6,10.78,-0.67,0.397,0.436,0.364,9.63,138.7
Jagatsinghpur,Odisha,365,110,4.65,4.16,12.41,10.78,-0.5,0.661,0.773,0.578,13.23,124.7
Dantewada,Chhattisgarh,365,69,3.33,2.97,12.15,10.75,-0.36,0.542,0.754,0.423,10.43,123.0
Jalgaon,Maharashtra,365,81,4.15,4.96,11.03,10.72,0.81,0.728,0.827,0.65,16.77,71.9
Raichur,Karnataka,365,54,2.45,2.03,11.71,10.69,-0.41,0.368,0.426,0.324,9.99,127.6
Amethi,Uttar Pradesh,365,86,3.72,2.77,11.39,10.63,-0.95,0.394,0.43,0.363,16.56,76.2
